<<<<<<< HEAD
bert/encoder/layer_7/output/dense/bias/adam_v 4751 4772
bert/encoder/layer_7/output/LayerNorm/beta/adam_m 4774 4783
bert/encoder/layer_7/output/LayerNorm/beta/adam_v 4785 4793
bert/encoder/layer_7/output/LayerNorm/gamma/adam_m 4795 4807
bert/encoder/layer_7/output/LayerNorm/gamma/adam_v 4809 4817
bert/embeddings/token_type_embeddings/adam_m 4818 4833
bert/encoder/layer_0/attention/output/LayerNorm/beta/adam_m 4835 4844
bert/encoder/layer_8/attention/self/query/kernel/adam_m 4846 4854
bert/encoder/layer_8/attention/self/query/kernel/adam_v 4856 4868
bert/encoder/layer_8/attention/self/query/bias/adam_m 4870 4877
bert/encoder/layer_8/attention/self/query/bias/adam_v 4880 4893
bert/encoder/layer_8/attention/self/key/kernel/adam_m 4895 4904
bert/encoder/layer_8/attention/self/key/kernel/adam_v 4905 4913
bert/encoder/layer_8/attention/self/key/bias/adam_m 4915 4926
bert/encoder/layer_0/attention/output/LayerNorm/beta/adam_v 4928 4937
bert/encoder/layer_8/attention/self/key/bias/adam_v 4940 4951
bert/encoder/layer_8/attention/self/value/kernel/adam_m 4953 4961
bert/encoder/layer_8/attention/self/value/kernel/adam_v 4963 4971
bert/encoder/layer_8/attention/self/value/bias/adam_m 4973 4985
bert/encoder/layer_8/attention/self/value/bias/adam_v 4987 4994
bert/encoder/layer_8/attention/output/dense/kernel/adam_m 4996 5008
bert/encoder/layer_8/attention/output/dense/kernel/adam_v 5010 5019
bert/encoder/layer_8/attention/output/dense/bias/adam_m 5022 5030
bert/encoder/layer_8/attention/output/dense/bias/adam_v 5032 5044
bert/encoder/layer_8/attention/output/LayerNorm/beta/adam_m 5046 5065
bert/encoder/layer_8/attention/output/LayerNorm/beta/adam_v 5067 5079
bert/encoder/layer_8/attention/output/LayerNorm/gamma/adam_m 5081 5089
bert/encoder/layer_8/attention/output/LayerNorm/gamma/adam_v 5091 5099
bert/encoder/layer_0/attention/output/LayerNorm/gamma/adam_m 5101 5242
bert/encoder/layer_8/intermediate/dense/kernel/adam_m 5246 5253
bert/encoder/layer_8/intermediate/dense/kernel/adam_v 5254 5311
bert/encoder/layer_8/intermediate/dense/bias/adam_m 5313 5320
bert/encoder/layer_8/intermediate/dense/bias/adam_v 5321 5326
bert/encoder/layer_8/output/dense/kernel/adam_m 5327 5350
bert/encoder/layer_8/output/dense/kernel/adam_v 5352 5357
bert/encoder/layer_8/output/dense/bias/adam_m 5358 5365
bert/encoder/layer_0/attention/output/LayerNorm/gamma/adam_v 5367 5371
bert/encoder/layer_8/output/dense/bias/adam_v 5387 5393
bert/encoder/layer_8/output/LayerNorm/beta/adam_m 5394 5399
bert/encoder/layer_8/output/LayerNorm/beta/adam_v 5401 5412
bert/encoder/layer_8/output/LayerNorm/gamma/adam_m 5414 5419
bert/encoder/layer_8/output/LayerNorm/gamma/adam_v 5420 5426
bert/encoder/layer_9/attention/self/query/kernel/adam_m 5429 5435
bert/encoder/layer_9/attention/self/query/kernel/adam_v 5436 5441
bert/encoder/layer_9/attention/self/query/bias/adam_m 5442 5458
bert/encoder/layer_9/attention/self/query/bias/adam_v 5460 5465
bert/encoder/layer_9/attention/self/key/kernel/adam_m 5466 5471
bert/encoder/layer_9/attention/self/key/kernel/adam_v 5483 5488
bert/encoder/layer_9/attention/self/key/bias/adam_m 5490 5495
bert/encoder/layer_9/attention/self/key/bias/adam_v 5496 5514
bert/encoder/layer_0/intermediate/dense/kernel/adam_m 5516 5524
bert/encoder/layer_9/attention/self/value/kernel/adam_m 5526 5531
bert/encoder/layer_9/attention/self/value/kernel/adam_v 5660 5671
bert/encoder/layer_9/attention/self/value/bias/adam_m 5672 5679
bert/encoder/layer_9/attention/self/value/bias/adam_v 5680 5692
bert/encoder/layer_9/attention/output/dense/kernel/adam_m 5694 5698
bert/encoder/layer_9/attention/output/dense/kernel/adam_v 5700 5705
bert/encoder/layer_9/attention/output/dense/bias/adam_m 5717 5723
bert/encoder/layer_0/intermediate/dense/kernel/adam_v 5724 5731
bert/encoder/layer_9/attention/output/dense/bias/adam_v 5732 5797
bert/encoder/layer_9/attention/output/LayerNorm/beta/adam_m 5800 5813
bert/encoder/layer_9/attention/output/LayerNorm/beta/adam_v 5815 5822
bert/encoder/layer_9/attention/output/LayerNorm/gamma/adam_m 5829 5837
bert/encoder/layer_9/attention/output/LayerNorm/gamma/adam_v 5839 5846
bert/encoder/layer_9/intermediate/dense/kernel/adam_m 5848 5860
bert/encoder/layer_9/intermediate/dense/kernel/adam_v 5862 5872
bert/encoder/layer_9/intermediate/dense/bias/adam_m 5873 5881
bert/encoder/layer_9/intermediate/dense/bias/adam_v 5886 5894
bert/encoder/layer_9/output/dense/kernel/adam_m 5896 5904
bert/encoder/layer_9/output/dense/kernel/adam_v 5906 5917
bert/encoder/layer_9/output/dense/bias/adam_m 5919 5927
bert/encoder/layer_9/output/dense/bias/adam_v 5929 5938
bert/encoder/layer_0/intermediate/dense/bias/adam_m 5943 5951
bert/encoder/layer_9/output/LayerNorm/beta/adam_m 5953 5960
bert/encoder/layer_9/output/LayerNorm/beta/adam_v 5962 5975
bert/encoder/layer_9/output/LayerNorm/gamma/adam_m 5977 5985
bert/encoder/layer_9/output/LayerNorm/gamma/adam_v 5987 5994
bert/encoder/layer_10/attention/self/query/kernel/adam_m 5997 6009
bert/encoder/layer_10/attention/self/query/kernel/adam_v 6011 6021
bert/encoder/layer_10/attention/self/query/bias/adam_m 6022 6037
bert/embeddings/token_type_embeddings/adam_v 6039 6051
bert/encoder/layer_0/intermediate/dense/bias/adam_v 6053 6062
bert/encoder/layer_10/attention/self/query/bias/adam_v 6064 6074
bert/encoder/layer_10/attention/self/key/kernel/adam_m 6077 6086
bert/encoder/layer_10/attention/self/key/kernel/adam_v 6088 6100
bert/encoder/layer_10/attention/self/key/bias/adam_m 6102 6113
bert/encoder/layer_10/attention/self/key/bias/adam_v 6114 6122
bert/encoder/layer_10/attention/self/value/kernel/adam_m 6124 6138
bert/encoder/layer_10/attention/self/value/kernel/adam_v 6140 6149
bert/encoder/layer_10/attention/self/value/bias/adam_m 6151 6159
bert/encoder/layer_10/attention/self/value/bias/adam_v 6161 6172
bert/encoder/layer_10/attention/output/dense/kernel/adam_m 6174 6182
bert/encoder/layer_10/attention/output/dense/kernel/adam_v 6184 6192
bert/encoder/layer_10/attention/output/dense/bias/adam_m 6197 6205
bert/encoder/layer_10/attention/output/dense/bias/adam_v 6207 6217
bert/encoder/layer_0/output/dense/kernel/adam_m 6218 6241
bert/encoder/layer_10/attention/output/LayerNorm/beta/adam_m 6243 6251
bert/encoder/layer_10/attention/output/LayerNorm/beta/adam_v 6253 6262
bert/encoder/layer_10/attention/output/LayerNorm/gamma/adam_m 6267 6276
bert/encoder/layer_10/attention/output/LayerNorm/gamma/adam_v 6278 6286
bert/encoder/layer_10/intermediate/dense/kernel/adam_m 6287 6298
bert/encoder/layer_10/intermediate/dense/kernel/adam_v 6300 6308
bert/encoder/layer_10/intermediate/dense/bias/adam_m 6310 6318
bert/encoder/layer_0/output/dense/kernel/adam_v 6329 6339
bert/encoder/layer_10/intermediate/dense/bias/adam_v 6341 6349
bert/encoder/layer_10/output/dense/kernel/adam_m 6351 6363
bert/encoder/layer_10/output/dense/kernel/adam_v 6365 6374
bert/encoder/layer_10/output/dense/bias/adam_m 6376 6385
bert/encoder/layer_10/output/dense/bias/adam_v 6392 6400
bert/encoder/layer_10/output/LayerNorm/beta/adam_m 6402 6410
bert/encoder/layer_10/output/LayerNorm/beta/adam_v 6412 6424
bert/encoder/layer_10/output/LayerNorm/gamma/adam_m 6426 6436
bert/encoder/layer_10/output/LayerNorm/gamma/adam_v 6438 6445
bert/encoder/layer_11/attention/self/query/kernel/adam_m 6450 6460
bert/encoder/layer_11/attention/self/query/kernel/adam_v 6462 6471
bert/encoder/layer_11/attention/self/query/bias/adam_m 6473 6485
bert/encoder/layer_11/attention/self/query/bias/adam_v 6487 6495
bert/encoder/layer_0/output/dense/bias/adam_m 6496 6504
bert/encoder/layer_11/attention/self/key/kernel/adam_m 6509 6517
bert/encoder/layer_11/attention/self/key/kernel/adam_v 6519 6527
bert/encoder/layer_11/attention/self/key/bias/adam_m 6529 6540
bert/encoder/layer_11/attention/self/key/bias/adam_v 6542 6550
bert/encoder/layer_11/attention/self/value/kernel/adam_m 6552 6561
bert/encoder/layer_11/attention/self/value/kernel/adam_v 6566 6574
bert/encoder/layer_11/attention/self/value/bias/adam_m 6576 6584
bert/encoder/layer_0/output/dense/bias/adam_v 6586 6597
bert/encoder/layer_11/attention/self/value/bias/adam_v 6599 6606
bert/encoder/layer_11/attention/output/dense/kernel/adam_m 6608 6616
bert/encoder/layer_11/attention/output/dense/kernel/adam_v 6621 6631
bert/encoder/layer_11/attention/output/dense/bias/adam_m 6633 6641
bert/encoder/layer_11/attention/output/dense/bias/adam_v 6644 6655
bert/encoder/layer_11/attention/output/LayerNorm/beta/adam_m 6657 6664
bert/encoder/layer_11/attention/output/LayerNorm/beta/adam_v 6691 6700
bert/encoder/layer_11/attention/output/LayerNorm/gamma/adam_m 6702 6710
bert/encoder/layer_11/attention/output/LayerNorm/gamma/adam_v 6712 6720
bert/encoder/layer_11/intermediate/dense/kernel/adam_m 6722 6731
bert/encoder/layer_11/intermediate/dense/kernel/adam_v 6732 6740
bert/encoder/layer_11/intermediate/dense/bias/adam_m 6742 6750
bert/encoder/layer_11/intermediate/dense/bias/adam_v 6752 6771
bert/encoder/layer_0/output/LayerNorm/beta/adam_m 6773 6782
bert/encoder/layer_11/output/dense/kernel/adam_m 6784 6793
bert/encoder/layer_11/output/dense/kernel/adam_v 6795 6803
bert/encoder/layer_11/output/dense/bias/adam_m 6805 6820
bert/encoder/layer_11/output/dense/bias/adam_v 6823 6831
bert/encoder/layer_11/output/LayerNorm/beta/adam_m 6833 6842
bert/encoder/layer_11/output/LayerNorm/beta/adam_v 6844 6852
bert/encoder/layer_11/output/LayerNorm/gamma/adam_m 6854 6861
bert/encoder/layer_0/output/LayerNorm/beta/adam_v 6863 6871
bert/encoder/layer_11/output/LayerNorm/gamma/adam_v 6872 6880
bert/pooler/dense/kernel/adam_m 6881 6890
bert/pooler/dense/kernel/adam_v 6891 6899
bert/pooler/dense/bias/adam_m 6901 6909
bert/pooler/dense/bias/adam_v 6910 6919
cls/predictions/transform/dense/kernel/adam_m 6920 6932
cls/predictions/transform/dense/kernel/adam_v 6934 6942
cls/predictions/transform/dense/bias/adam_m 6944 6951
cls/predictions/transform/dense/bias/adam_v 6956 6965
cls/predictions/transform/LayerNorm/beta/adam_m 6967 6975
cls/predictions/transform/LayerNorm/beta/adam_v 6977 6988
cls/predictions/transform/LayerNorm/gamma/adam_m 6990 6998
cls/predictions/transform/LayerNorm/gamma/adam_v 6999 7007
bert/encoder/layer_0/output/LayerNorm/gamma/adam_m 7012 7020
cls/predictions/output_bias/adam_m 7022 7030
cls/predictions/output_bias/adam_v 7031 7043
cls/seq_relationship/output_weights/adam_m 7045 7053
cls/seq_relationship/output_weights/adam_v 7055 7065
cls/seq_relationship/output_bias/adam_m 7067 7078
cls/seq_relationship/output_bias/adam_v 7080 7088
bert/encoder/layer_0/output/LayerNorm/gamma/adam_v 7089 7102
bert/encoder/layer_1/attention/self/query/kernel/adam_m 7104 7112
bert/encoder/layer_1/attention/self/query/kernel/adam_v 7114 7124
bert/encoder/layer_1/attention/self/query/bias/adam_m 7125 7136
bert/encoder/layer_1/attention/self/query/bias/adam_v 7138 7146
bert/embeddings/position_embeddings/adam_m 7147 7160
bert/encoder/layer_1/attention/self/key/kernel/adam_m 7163 7172
bert/encoder/layer_1/attention/self/key/kernel/adam_v 7174 7183
bert/encoder/layer_1/attention/self/key/bias/adam_m 7185 7196
bert/encoder/layer_1/attention/self/key/bias/adam_v 7198 7206
bert/encoder/layer_1/attention/self/value/kernel/adam_m 7208 7221
bert/encoder/layer_1/attention/self/value/kernel/adam_v 7223 7234
bert/encoder/layer_1/attention/self/value/bias/adam_m 7236 7245
bert/embeddings/position_embeddings/adam_v 7247 7260
bert/encoder/layer_1/attention/self/value/bias/adam_v 7262 7271
bert/encoder/layer_1/attention/output/dense/kernel/adam_m 7273 7288
bert/encoder/layer_1/attention/output/dense/kernel/adam_v 7290 7298
bert/encoder/layer_1/attention/output/dense/bias/adam_m 7300 7309
bert/encoder/layer_1/attention/output/dense/bias/adam_v 7311 7323
bert/encoder/layer_1/attention/output/LayerNorm/beta/adam_m 7324 7334
bert/encoder/layer_1/attention/output/LayerNorm/beta/adam_v 7335 7347
bert/embeddings/LayerNorm/beta/adam_m 7352 7362
bert/embeddings/LayerNorm/beta/adam_v 7364 7374
bert/encoder/layer_1/attention/output/LayerNorm/gamma/adam_m 7375 7388
bert/encoder/layer_1/attention/output/LayerNorm/gamma/adam_v 7389 7397
mul_5/x 7399 7416
bert/encoder/layer_1/intermediate/dense/kernel/adam_m 7422 7430
bert/encoder/layer_1/intermediate/dense/kernel/adam_v 7432 7442
PolynomialDecay/sub 7444 7514
global_step 7522 7543
add_4/y 7546 7580
bert/encoder/layer_1/intermediate/dense/bias/adam_m 7583 7621
